기관,공고번호,공고일,효력일,종료일,행위,서울자치구,주거지역기준_㎡초과,쪽수,파일
서울특별시,2024-2557,2024-09-05,2024-09-10,2029-09-09,지정,종로구|중구|용산구|성동구|광진구|동대문구|중랑구|성북구|강북구|도봉구|노원구|은평구|서대문구|마포구|양천구|강서구|구로구|금천구|동작구|관악구|송파구|강동구,6,77,시보20240905_p3-79.pdf
서울특별시,2024-2697,2024-09-26,2024-09-10,2029-09-09,지정,동대문구|성북구|양천구|강서구,6,8,시보20240925_p538-545.pdf
서울특별시,2024-2825,2024-10-17,2024-10-22,2025-12-25,지정,용산구|중랑구|관악구|송파구,6,8,시보20241017_p245-252.pdf
서울특별시,2024-3079,2024-11-14,2024-11-19,2025-12-25,지정,서대문구|동작구,6,3,시보20241114_p608-610.pdf
서울특별시,2024-3502,2024-12-19,2025-01-26,2026-01-28,지정,종로구|중구|용산구|성동구|광진구|동대문구|중랑구|성북구|강북구|도봉구|은평구|서대문구|마포구|양천구|강서구|구로구|금천구|영등포구|동작구|관악구|강남구|송파구|강동구,6,74,시보20241218_p364-437.pdf
서울특별시,2024-914,2024-03-21,2024-04-04,2025-04-03,지정,종로구|성동구|동대문구|중랑구|성북구|강북구|도봉구|노원구|서대문구|마포구|양천구|구로구|금천구|영등포구|동작구|관악구|송파구|강동구,6,4,시보20240320_p339-342.pdf
서울특별시,2024-972,2024-03-28,2024-04-04,2025-04-03,지정,중랑구,6,1,시보20240329_p302-302.pdf
서울특별시,2025-1138,2025-04-03,,,지정,금천구,6,2,시보20250403_p3-4.pdf
서울특별시,2025-1157,2025-04-10,2025-04-27,2026-04-26,지정,종로구|성동구|광진구|성북구|강북구|노원구|서대문구|마포구|양천구|영등포구|관악구|강남구,6,19,시보20250409_p451-469.pdf
서울특별시,2025-1497,2025-05-15,2025-05-31,2026-05-30,지정,서초구|강남구,60,3,시보20250514_p256-258.pdf
서울특별시,2025-1831,2025-06-12,,,지정,용산구|성북구|도봉구|은평구|양천구|금천구|영등포구|관악구|강남구|송파구,6,28,시보20250611_p206-233.pdf
서울특별시,2025-2530,2025-08-28,2025-09-02,2030-09-01,지정,종로구|중구|성동구|광진구|양천구|동작구|서초구|강동구,6,15,시보20250827_p1056-1070.pdf
서울특별시,2025-2774,2025-09-25,2025-10-01,2026-12-31,지정,용산구|강북구|도봉구|마포구|구로구|영등포구|동작구|서초구|강남구|송파구,6,14,시보20250925_p151-164.pdf
서울특별시,2025-3142,2025-11-06,2025-11-11,2027-01-28,지정,종로구|용산구|은평구|마포구|구로구|금천구,6,10,시보20251106_p1135-1144.pdf
서울특별시,2025-3548,2025-12-18,2025-12-26,2027-01-28,지정,종로구|중구|용산구|성동구|광진구|동대문구|중랑구|성북구|강북구|도봉구|은평구|서대문구|마포구|양천구|구로구|금천구|영등포구|동작구|관악구|강남구|송파구|강동구,6,79,시보20251217_p614-692.pdf
서울특별시,2025-399,2025-02-13,2025-02-18,2030-02-17,지정,광진구|동대문구|중랑구|성북구|강북구|서대문구|양천구|구로구|금천구|서초구,6,26,시보20250212_p403-428.pdf
서울특별시,2025-497,2025-02-13,,,지정,중구|중랑구|강북구|양천구|강서구|강남구|송파구|강동구,6,23,시보20250213_p3-25.pdf
서울특별시,2025-903,2025-03-14,2025-03-19,2026-04-03,지정,종로구|용산구|성동구|광진구|동대문구|중랑구|성북구|강북구|도봉구|노원구|은평구|서대문구|양천구|구로구|금천구|영등포구|동작구|관악구|송파구|강동구,6,49,시보20250314_p3-51.pdf
서울특별시,2025-953,2025-03-19,2025-03-24,2025-09-30,지정,용산구|서초구|강남구|송파구,6,6,시보20250319_p3-8.pdf
서울특별시,2026-1510,2026-05-14,2026-05-19,2031-05-18,지정,용산구|성동구|광진구|성북구|강북구|도봉구|은평구|서대문구|양천구|구로구|동작구|서초구|강남구|송파구|강동구,6,55,시보20260513_p313-367.pdf
서울특별시,2026-1910,2026-06-25,2026-06-30,2031-06-29,지정,용산구|광진구|동작구|관악구|서초구|송파구,6,8,시보20260624_p721-728.pdf
서울특별시,2026-2289,2026-08-06,2026-08-11,2031-08-10,지정,용산구|광진구|동대문구|중랑구|성북구|강북구|도봉구|은평구|서대문구|마포구|양천구|구로구|금천구|영등포구|동작구|관악구|서초구|강동구,6,71,시보20260805_p377-447.pdf
서울특별시,2026-456,2026-02-12,2026-02-17,2031-02-16,지정,종로구|성동구|중랑구|성북구|강북구|은평구|서대문구,6,14,시보20260211_p499-512.pdf
서울특별시,2026-5,2026-01-02,2026-01-07,2027-01-28,지정,성동구|성북구|강북구|은평구|마포구|구로구|금천구|영등포구,6,13,시보20251231_p134-146.pdf
서울특별시,2026-767,2026-03-12,2026-03-17,2027-04-03,지정,종로구|용산구|광진구|동대문구|중랑구|성북구|강북구|도봉구|노원구|은평구|서대문구|마포구|양천구|구로구|금천구|영등포구|동작구|관악구|송파구|강동구,6,52,시보20260316_p419-470.pdf
서울특별시,시보20210513_p131-133,,,,지정,,,3,시보20210513_p131-133.pdf
서울특별시,시보20220420_p356-360,,,,지정,,,5,시보20220420_p356-360.pdf
서울특별시,시보20220819_p25-31,,,,지정,,,7,시보20220819_p25-31.pdf
서울특별시,시보20221230_p179-233,2022-12-30,2023-01-04,2024-01-03,지정,종로구|용산구|성동구|광진구|동대문구|중랑구|성북구|강북구|도봉구|은평구|서대문구|마포구|양천구|구로구|금천구|영등포구|동작구|관악구|강남구|송파구,,55,시보20221230_p179-233.pdf
서울특별시,시보20230817_p12-52,2023-08-17,2023-08-22,2024-08-21,지정,종로구|용산구|중랑구|성북구|강북구|도봉구|노원구|은평구|서대문구|마포구|양천구|구로구|금천구|영등포구|서초구|강남구|강동구,,41,시보20230817_p12-52.pdf
서울특별시,시보20260408_p531-538,,,,지정,,,8,시보20260408_p531-538.pdf
