기관,파일,공고일,효력일,종료일,계열,행위,근거공고,지정지역_문장,동별면적,주거기준_㎡초과,텍스트길이
서울특별시,시보20230322_p181-205.pdf,2023-03-23,2023-04-04,2024-04-03,신속통합기획|공공재개발,지정,2022-827,"- 신속통합기획(재개발사업) 선정지 확대 지역 452,922.5㎡",,,2660
서울특별시,시보20230118_p234-257.pdf,2023-01-19,2023-01-26,2024-01-25,주요재건축단지|신속통합기획|공공재개발,재지정,2022-189,,,,1807
서울특별시,시보20221230_p179-233.pdf,2022-12-30,2023-01-04,2024-01-03,주요재건축단지,지정,,,,,4480
서울특별시,시보20221223_p7-30.pdf,2022-12-23,2023-01-02,2024-01-01,주요재건축단지,재지정,2021-3211,,,,2233
국토교통부,국토교통부공고제2022-1566호(토지거래허가구역 재지정 공고).pdf,2022-12-19,2022-12-26,2023-12-25,미분류,재지정,2022-1566|2021-1805,,,60,755
서울특별시,시보20220826_p38-82.pdf,2022-08-26,2022-08-31,2023-08-30,주요재건축단지|신속통합기획,해제,2022-2455|2022-226,42개 구역,,6,3136
서울특별시,시보20220819_p25-31.pdf,2022-08-19,2022-08-24,2023-08-23,신속통합기획|공공재개발,지정,,"강동구 천호3-3구역 등 3개 구역(148,614.1农)",,,894
서울특별시,시보20220616_p3-5.pdf,2022-06-17,2022-06-23,2023-06-22,국제교류복합지구,재지정,2022-1795|2021-1667,"서울특별시 강남구, 송파구 일원 14.4㎢",청담동:2.3|삼성동:3.2|대치동:3.7|잠실동:5.2,6,690
국토교통부,국토교통부공고제2022-532호(토지거래허가구역 재지정 공고).pdf,2022-04-28,2022-05-20,2023-05-19,용산정비창,재지정,2022-532|2021-658,,,6,574
서울특별시,시보20220420_p356-360.pdf,2022-04-21,2022-04-27,2023-04-26,주요재건축단지,재지정,2021-1223,"주요 재건축 단지등 4,578,039农",,,709
서울특별시,시보20220323_p91-108.pdf,2022-03-24,2022-04-04,2023-04-03,공공재개발,재지정,2022-827|2021-984,"공공재개발 후보지 904,270农",,,1646
서울특별시,시보20220124_p7-53.pdf,2022-01-24,2022-01-29,2023-01-28,주요재건축단지,지정,2022-226,,,18,3827
서울특별시,시보20220119_p146-154.pdf,2022-01-20,2022-01-26,2023-01-25,공공재개발,재지정,2022-189|2021-156,,,,848
서울특별시,시보20211228_p17-40.pdf,2021-12-28,2022-01-02,2023-01-01,주요재건축단지,지정,2021-3211,,,18,2346
국토교통부,국토교통부공고제2021-1805호(토지거래허가구역  재지정 공고).pdf,2021-12-16,2021-12-26,2022-12-25,미분류,재지정,2021-1805|2020-632,,,180,746
서울특별시,시보20210609_p356-358.pdf,2021-06-10,2021-06-23,2022-06-22,국제교류복합지구,재지정,2021-1667|2020-1832,"서울특별시 강남구, 송파구 일원 14.4㎢",청담동:2.3|삼성동:3.2|대치동:3.7|잠실동:5.2,18,728
서울특별시,시보20210513_p131-133.pdf,2021-05-13,2021-05-31,2024-05-30,국제교류복합지구,재지정,2018-1162,"서울특별시 강남구, 서초구 일원 27.29冝",,,893
국토교통부,국토교통부공고제2021-658호(토지거래허가구역 재지정 공고).pdf,2021-04-30,2021-05-20,2022-05-19,미분류,재지정,2021-658,,,18,624
서울특별시,시보20210422_p253-257.pdf,2021-04-22,2021-04-27,2022-04-26,주요재건축단지,지정,2021-1223,"주요 재건축 단지등 4,578,039㎡",,18,806
서울특별시,시보20210330_p16-33.pdf,2021-03-30,2021-04-04,2022-04-03,공공재개발,지정,2021-984,"공공재개발 후보지 904,270㎡",,18,1603
서울특별시,시보20210121_p185-193.pdf,2021-01-21,2021-01-26,2022-01-25,공공재개발,지정,2021-156,"공공재개발 후보지 129,979㎡",,18,780
국토교통부,국토교통부공고제2020-1632호(토지거래허가구역 재지정).pdf,2020-12-16,2020-12-26,2021-12-25,미분류,재지정,2020-1632|2018-1738|2020-35,,,180,2752
서울특별시,시보2020호3590_p105-107.pdf,2020-06-18,2020-06-23,2021-06-22,국제교류복합지구,지정,2020-1832,"서울특별시 송파구, 강남구 일원 14.4㎢",청담동:2.3|삼성동:3.2|대치동:3.7|잠실동:5.2,18,714
국토교통부,국토교통부공고제2020-657호(토지거래허가구역 지정).pdf,2020-05-15,2020-05-20,2021-05-19,자연녹지|용산정비창,지정,2020-657,,,18,71177
서울특별시,시보20250611_p206-233.pdf,2025-06-12,,,국제교류복합지구|신속통합기획,조정,2025-1831,,,6,2578
서울특별시,시보20250213_p3-25.pdf,2025-02-13,,,국제교류복합지구|주요재건축단지|신속통합기획,해제,2025-497,,,6,2088
서울특별시,시보20231116_p3-8.pdf,2023-11-16,,,국제교류복합지구|주요재건축단지|신속통합기획|공공재개발,해제,2023-3231,,청담동:2.3|삼성동:3.2|대치동:3.7|잠실동:5.2,6,2421
국토교통부,국토교통부공고제2021-657호(토지거래허가구역 재지정 공고).pdf,2021-04-30,,,미분류,재지정,2021-657,,,180,892
국토교통부,국토교통부공고제2022-531호(토지거래허가구역 조정 공고).pdf,,,,자연녹지,해제,2022-531|2022-531,,,,643983
서울특별시,서울시2020-1832_국제교류복합지구_지정.pdf,,,,국제교류복합지구,지정,,서울특별시 송파구,,,682
서울특별시,서울시2025-0497_조정공고_부분해제.pdf,,,,국제교류복합지구|주요재건축단지|신속통합기획,해제,,,,,2291
서울특별시,시보20260408_p531-538.pdf,,,,미분류,,,,,,0
