자치구,법정동,시작일,종료일,상태,계열,지정방식,면적기준_㎡,구역면적_㎢,공고건수,근거공고
도봉구,방학동,2024-01-04,2024-04-03,불명,,,,,0,
도봉구,방학동,2024-04-04,2029-09-09,지정,공공재개발|국제교류복합지구|모아타운|신규주택공급후보지|신속통합기획|정비사업후보지|주요재건축단지,혼합,6→60→6→60,10.2,4,국토교통부공고제2026-1079호(토지거래허가구역 지정 공고)|시보20240320_p339-342|시보20240808_p4-7|시보20240905_p3-79
도봉구,쌍문동,2022-01-02,2029-09-09,지정,공공재개발|국제교류복합지구|모아타운|신규주택공급후보지|신속통합기획|정비사업후보지|주요재건축단지,혼합,18→6→60→6→60,10.2,8,국토교통부공고제2026-1079호(토지거래허가구역 지정 공고)|시보20211228_p17-40|시보20221223_p7-30|시보20221230_p179-233|시보20230322_p181-205|시보20240320
도봉구,창동,2022-01-29,2023-01-28,지정,미분류,일부,18,0.176235,1,시보20220124_p7-53
도봉구,창동,2023-01-29,2024-04-03,불명,,,,,0,
도봉구,창동,2024-04-04,2029-09-09,지정,공공재개발|모아타운|신속통합기획|정비사업후보지|주요재건축단지,혼합,6,0.58,2,시보20240320_p339-342|시보20240905_p3-79
동대문구,답십리동,2023-01-04,2024-01-03,지정,정비사업후보지|주요재건축단지,일부,,,1,시보20221230_p179-233
동대문구,답십리동,2024-01-04,2024-09-09,불명,,,,,0,
동대문구,답십리동,2024-09-10,2029-09-09,지정,모아타운|주요재건축단지,동전체,6,0.08,2,시보20240905_p3-79|시보20240925_p538-545
동대문구,신설동,2024-01-26,2026-01-28,지정,공공재개발|신속통합기획|정비사업후보지|주요재건축단지,일부,6,0.011204,2,시보20240118_p119-141|시보20241218_p364-437
동대문구,용두동,2023-01-04,2024-01-03,지정,정비사업후보지|주요재건축단지,일부,,,1,시보20221230_p179-233
동대문구,용두동,2024-01-04,2024-01-25,불명,,,,,0,
동대문구,용두동,2024-01-26,2026-01-28,지정,공공재개발|신속통합기획|정비사업후보지|주요재건축단지,일부,6,0.02078,2,시보20240118_p119-141|시보20241218_p364-437
동대문구,이문동,2024-09-10,2029-09-09,지정,주요재건축단지,동전체,6,0.08,1,시보20240925_p538-545
동대문구,전농동,2021-04-04,2026-01-28,지정,공공재개발|미분류|신속통합기획|정비사업후보지|주요재건축단지,일부,18→6,0.044878,9,시보20210330_p16-33|시보20220124_p7-53|시보20220323_p91-108|시보20221230_p179-233|시보20230118_p234-257|시보20230322_p181-205|시보2023
동대문구,청량리동,2022-01-02,2024-01-01,지정,정비사업후보지,일부,18,0.027981,2,시보20211228_p17-40|시보20221223_p7-30
동대문구,청량리동,2024-01-02,2025-01-25,불명,,,,,0,
동대문구,청량리동,2025-01-26,2026-01-28,지정,공공재개발|신속통합기획|정비사업후보지|주요재건축단지,일부,6,,1,시보20241218_p364-437
동대문구,휘경동,2022-01-29,2024-01-03,지정,미분류|정비사업후보지|주요재건축단지,일부,18,0.078953,2,시보20220124_p7-53|시보20221230_p179-233
동작구,노량진동,2024-09-10,2029-09-09,지정,모아타운|주요재건축단지,동전체,6,0.35,1,시보20240905_p3-79
동작구,본동,2021-04-04,2025-04-03,지정,공공재개발|신속통합기획|정비사업후보지,일부,18→6,0.051696,4,시보20210330_p16-33|시보20220323_p91-108|시보20230322_p181-205|시보20240320_p339-342
동작구,사당동,2023-01-04,2024-01-03,지정,정비사업후보지|주요재건축단지,일부,,,2,시보20221230_p179-233
동작구,사당동,2024-01-04,2024-09-09,불명,,,,,0,
동작구,사당동,2024-09-10,2029-09-09,지정,모아타운|주요재건축단지,동전체,6,0.35,1,시보20240905_p3-79
동작구,상도동,2022-01-02,2029-09-09,지정,공공재개발|모아타운|신속통합기획|정비사업후보지|주요재건축단지,혼합,18→6,0.35,7,시보20211228_p17-40|시보20221223_p7-30|시보20221230_p179-233|시보20231220_p249-307|시보20240905_p3-79|시보20241218_p364-437
동작구,흑석동,2023-01-04,2024-01-03,지정,정비사업후보지|주요재건축단지,일부,,,1,시보20221230_p179-233
동작구,흑석동,2024-01-04,2024-01-25,불명,,,,,0,
동작구,흑석동,2024-01-26,2026-01-28,지정,공공재개발|신속통합기획|정비사업후보지|주요재건축단지,일부,6,0.045229,2,시보20240118_p119-141|시보20241218_p364-437
마포구,공덕동,2022-01-02,2024-01-01,지정,정비사업후보지,일부,18,0.08232,2,시보20211228_p17-40|시보20221223_p7-30
마포구,공덕동,2024-01-02,2025-01-25,불명,,,,,0,
마포구,공덕동,2025-01-26,2026-01-28,지정,공공재개발|신속통합기획|정비사업후보지|주요재건축단지,일부,6,,1,시보20241218_p364-437
마포구,대흥동,2022-01-29,2029-09-09,지정,공공재개발|모아타운|미분류|신속통합기획|정비사업후보지|주요재건축단지,혼합,18→6,0.74,5,시보20220124_p7-53|시보20230118_p234-257|시보20240118_p119-141|시보20240320_p339-342|시보20240905_p3-79
마포구,망원동,2022-01-29,2024-01-03,지정,미분류|정비사업후보지|주요재건축단지,일부,18,0.076258,2,시보20220124_p7-53|시보20221230_p179-233
마포구,망원동,2024-01-04,2024-09-09,불명,,,,,0,
마포구,망원동,2024-09-10,2029-09-09,지정,모아타운|주요재건축단지,동전체,6,0.74,1,시보20240905_p3-79
마포구,상암동,2024-08-13,2024-12-31,지정,국제교류복합지구,동전체,60,0.08,1,시보20240808_p4-7
마포구,상암동,2025-01-01,2026-08-17,불명,,,,,0,
마포구,상암동,2026-08-18,2026-12-31,지정,신규주택공급후보지,동전체,60,0.09,1,국토교통부공고제2026-1079호(토지거래허가구역 지정 공고)
마포구,성산동,2024-09-10,2029-09-09,지정,모아타운|주요재건축단지,동전체,6,0.74,1,시보20240905_p3-79
마포구,용강동,2024-09-10,2029-09-09,지정,모아타운|주요재건축단지,동전체,6,0.74,1,시보20240905_p3-79
마포구,중동,2024-09-10,2029-09-09,지정,모아타운|주요재건축단지,동전체,6,0.74,1,시보20240905_p3-79
마포구,합정동,2024-09-10,2029-09-09,지정,모아타운|주요재건축단지,동전체,6,0.74,1,시보20240905_p3-79
서대문구,남가좌동,2023-01-04,2024-01-03,지정,정비사업후보지|주요재건축단지,일부,,,1,시보20221230_p179-233
서대문구,연희동,2021-04-04,2025-04-03,지정,공공재개발|신속통합기획|정비사업후보지,일부,18→6,0.049745,4,시보20210330_p16-33|시보20220323_p91-108|시보20230322_p181-205|시보20240320_p339-342
서대문구,옥천동,2024-09-10,2029-09-09,지정,모아타운|주요재건축단지,동전체,6,0.1,1,시보20240905_p3-79
서대문구,천연동,2024-09-10,2029-09-09,지정,모아타운|주요재건축단지,동전체,6,0.1,1,시보20240905_p3-79
서대문구,충정로3가,2021-04-04,2025-04-03,지정,공공재개발|신속통합기획|정비사업후보지,일부,18→6,0.008075,4,시보20210330_p16-33|시보20220323_p91-108|시보20230322_p181-205|시보20240320_p339-342
서대문구,현저동,2024-09-10,2029-09-09,지정,모아타운|주요재건축단지,동전체,6,0.1,1,시보20240905_p3-79
서대문구,홍은동,2021-04-04,2025-04-03,지정,공공재개발|국제교류복합지구|신속통합기획|정비사업후보지,혼합,18→6→60,1.78,9,시보20210330_p16-33|시보20211228_p17-40|시보20220323_p91-108|시보20221223_p7-30|시보20230322_p181-205|시보20240320_p339-342|시보202408
서대문구,홍은동,2025-04-04,2026-08-17,불명,,,,,0,
서대문구,홍은동,2026-08-18,2026-12-31,지정,신규주택공급후보지,동전체,60,1.67,1,국토교통부공고제2026-1079호(토지거래허가구역 지정 공고)
서대문구,홍제동,2023-01-04,2024-01-03,지정,정비사업후보지|주요재건축단지,일부,,,1,시보20221230_p179-233
서대문구,홍제동,2024-01-04,2024-08-12,불명,,,,,0,
서대문구,홍제동,2024-08-13,2029-09-09,지정,국제교류복합지구|모아타운|신규주택공급후보지|주요재건축단지,동전체,60→6→60,1.78,3,국토교통부공고제2026-1079호(토지거래허가구역 지정 공고)|시보20240808_p4-7|시보20240905_p3-79
서초구,내곡동,2024-08-13,2024-12-31,지정,국제교류복합지구,동전체,60,5.95,1,시보20240808_p4-7
서초구,내곡동,2025-01-01,2026-08-17,불명,,,,,0,
서초구,내곡동,2026-08-18,2026-12-31,지정,신규주택공급후보지,동전체,60,2.31,1,국토교통부공고제2026-1079호(토지거래허가구역 지정 공고)
서초구,방배동,2024-08-13,2024-12-31,지정,국제교류복합지구,동전체,60,5.95,1,시보20240808_p4-7
서초구,방배동,2025-01-01,2026-08-17,불명,,,,,0,
서초구,방배동,2026-08-18,2026-12-31,지정,신규주택공급후보지,동전체,60,2.31,1,국토교통부공고제2026-1079호(토지거래허가구역 지정 공고)
서초구,신원동,2024-08-13,2024-12-31,지정,국제교류복합지구,동전체,60,5.95,1,시보20240808_p4-7
서초구,신원동,2025-01-01,2026-08-17,불명,,,,,0,
서초구,신원동,2026-08-18,2026-12-31,지정,신규주택공급후보지,동전체,60,2.31,1,국토교통부공고제2026-1079호(토지거래허가구역 지정 공고)
서초구,양재동,2025-03-24,2025-09-30,지정,국제교류복합지구|주요재건축단지,동전체,6,25.46,1,시보20250319_p3-8
서초구,염곡동,2024-08-13,2024-12-31,지정,국제교류복합지구,동전체,60,5.95,1,시보20240808_p4-7
서초구,염곡동,2025-01-01,2025-03-23,불명,,,,,0,
서초구,염곡동,2025-03-24,2025-09-30,지정,국제교류복합지구|주요재건축단지,동전체,6,25.46,1,시보20250319_p3-8
서초구,염곡동,2025-10-01,2026-08-17,불명,,,,,0,
